SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-BPC-007,GY CURVA RANURADA BPCG VERT EXT CVE90 100X50X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,6750.0,=E49*G49,9375.0,Sin Stock,P07018,
LT-BPC-008,GY CURVA RANURADA BPCG VERT EXT CVE90 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,12422.0,=E50*G50,17253.0,Sin Stock,P07022,
LT-BPC-009,GY CURVA RANURADA BPCG VERT INT CVI90 200X100X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,11748.0,=E51*G51,16316.0,Sin Stock,P07023,
LT-BPC-010,GY CURVA RANURADA BPCG CT 100X50X1.2 R200 GALV,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,17322.0,=E52*G52,24058.0,Sin Stock,P07021,
LT-BPC-011,GY ESCALERILLA EPCG 300X100X2.0 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,56852.0,=E53*G53,78961.0,Sin Stock,P07001,
LT-BPC-012,GY TAPA BPCG EPCG 200X15X1.2 TIRA 3MTS GALV,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,22923.0,=E54*G54,31838.0,Sin Stock,P07004,
LT-BPC-013,GY TAPA BPCG EPCG 300X15X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,33809.0,=E55*G55,46957.0,Sin Stock,P07005,
LT-BPC-014,GY ESCALERILLA EPCG 200X100X2.0 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,54490.0,=E56*G56,75680.0,Sin Stock,P07000,
LT-BPC-015,GY TAPA BPCG EPCG 100X15X1.2 TIRA 3 MTS GALV,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,18928.0,=E57*G57,26289.0,Sin Stock,P07003,
LT-BPC-016,SOPORTE ESTRIBO 100*50 ZN.,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,UN,0.0,=E58*G58,0.0,Sin Stock,,
LT-BPC-017,HILO 3/8*3000 ZN.,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,MTS,0.0,=E59*G59,0.0,Sin Stock,,
LT-BPC-018,TUERCA HEX. 3/8 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0.0,=E60*G60,0.0,Sin Stock,,
LT-BPC-019,GOLILLA PLANA 3/8 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0.0,=E61*G61,0.0,Sin Stock,,
LT-BPC-020,PERNO COCHE 1/4*5/8 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0.0,=E62*G62,0.0,Sin Stock,,
LT-BPC-021,TUERCA HEX. 1/4 ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,145.0,=E63*G63,202.0,Sin Stock,P06600,
LT-BPC-022,RIEL 42*42*1.9*3000 ZN.,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,UN,0.0,=E64*G64,0.0,Sin Stock,,
LT-BPC-023,TUERCA R/42 3/8 C/RESORTE ZN.,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,MTS,0.0,=E65*G65,0.0,Sin Stock,,
LT-BPC-024,Cablofil Bandeja rejilla 200x65X3000mm,Bandejas Portacables (BPC/Escalerilla),Bandejas y Escalerillas,0,TIRA,0.0,=E66*G66,0.0,Sin Stock,,
LT-BPC-025,Varilla roscada M10X3000,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,0.0,=E67*G67,0.0,Sin Stock,,
LT-BPC-026,Unión rapida Altura 50 y 100mm - zincada,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,146,UN,0.0,=E68*G68,0.0,Disponible,,
