,,,,,,,,,,,
,,,,,,,Planilla,,,,
,,,,,,,may-25,,,,
,,,,,,,,,,,
,CLIENTE,,,,,,,,,,
,,,,,,,,,,,
,,PRODUCTOS,CANTIDAD,TIPO,COSTO,TOTAL,PROVEEDOR,,,,
,,RIEL 42*42*1.9*3000 ZN.,,UN,$300,$0,,,,,
,,TUERCA R/42 3/8 C/RESORTE ZN.,,MTS,"$3,542",$0,,,,,
,,Cablofil Bandeja rejilla 200x65X3000mm ,,TIRA,"$21,307",$0,,,,,
,,Varilla roscada M10X3000,,TIRA,"$3,005",$0,,,,,
,,Unión rapida Altura 65 y 105mm - zincada,,UN,$498,$0,,,,,
,,Unión grapa con perno,,UN,$389,$0,,,,,
,,Soporte puente 3000mm,,TIRA ,"$27,008",$0,,,,,
,,CURVAS CABLO FIL,,UN,"$25,412",$0,,,,,
,,ACCESORIOS VARIOS,,UN,"$12,210",$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,PVC,PVC 20 MM X 3 MTS,,TIRA,$721,$0,,,,,
,,SALIDA DE CAJA CONDUIT PVC 20MM,,UN,$75,$0,,,,,
,,CURVA 90° CONDUIT PVC 20MM,,UN,$209,$0,,,,,
,,ABRAZADERAS OMEGA 20MM,,UN,$57,$0,,,,,
,,PVC 25 MM X 3 MTS,,TIRA,$930,$0,,,,,
,,TERMINAL PVC 25MM,,UN,$95,$0,,,,,
,,CODO PVC 25 MM,,UN,$268,$0,,,,,
,,ABRAZADERAS OMEGA 25MM,,UN,$65,$0,,,,,
,,PVC 32 MM X 3 MTS,,TIRA,"$1,410",$0,,,,,
,,TERMINAL PVC 32MM,,UN,$215,$0,,,,,
,,CODO PVC 32 MM,,UN,$330,$0,,,,,
,,ABRAZADERAS OMEGA 32MM,,UN,$96,$0,,,,,
,,TUBO CONDUIT PVC 40MM 3 MTS,,TIRA,"$2,454",$0,,,,,
,,CURVA 90° CONDUIT PVC 40MM,,UN,$518,$0,,,,,
,,TUBO CONDUIT PVC 50MM 3 MTS,,Tira,"$3,589",$0,,,,,
,,CURVA 90° CONDUIT PVC 50MM,,UN,"$1,076",$0,,,,,
,,TERMINAL COMPLETO CONDUIT PVC 50MM,,UN,$918,$0,,,,,
,,SALIDA DE CAJA CONDUIT PVC 50MM,,UN,$455,$0,,,,,
,,ABRAZADERA METALICA OMEGA 40MM TSP-40,,UN,$64,$0,,,,,
,,ABRAZADERA METALICA OMEGA 50MM TSP-50,,UN,$96,$0,,,,,
,,CAJAS DE PASO PLASTICA,,UN,$867,$0,,,,,
,,LX CAJA ESTANCA 85X85X50 IP55 7 SALIDAS,,UN,"$1,233",$0,,,,,
,,LX CAJA ESTANCA 100X100X70 IP55 7 SALIDAS,,UN,"$2,075",$0,,,,,
,,GY TAPA BPCG EPCG 300X15X1.2 TIRA 3 MTS GALV,,UN,"$42,261",$0,,,,,
,,GY ESCALERILLA EPCG 200X100X2.0 TIRA 3 MTS GALV,,UN,"$68,113",$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,DLP,ACCESORIO 100X50 MM ZOLODA EXTERIOR,,MTS,"$2,061",$0,,,,,
,,ACCESORIO 100X50 MM ZOLODA FINAL,,UN,$453,$0,,,,,
,,ACCESORIO 100X50 MM ZOLODA INTERIOR,,UN,$530,$0,,,,,
,,ACCESORIO 100X50 MM ZOLODA PLANO,,UN,$636,$0,,,,,
,,ACCESORIO 100X50 MM ZOLODA T,,UN,$519,$0,,,,,
,,ACCESORIO 10X20 MM ZOLADA EXTERIOR,,UN,$730,$0,,,,,
,,ACCESORIO 10X20 MM ZOLADA INTERIOR,,MTS,"$7,498",$0,,,,,
,,ACCESORIO 10X20 MM ZOLADA PLANO,,UN,"$2,780",$0,,,,,
,,ACCESORIO 16X40MM CAFE EXTERIOR,,UN,"$5,528",$0,,,,,
,,ACCESORIO 16X40MM CAFE FINAL,,UN,"$4,453",$0,,,,,
,,ACCESORIO 16X40MM CAFE INTERIOR,,UN,"$2,109",$0,,,,,
,,ACCESORIO 16X40MM CAFE PLANO,,UN,"$4,874",$0,,,,,
,,ACCESORIO 16X40MM CAFE T,,UN,$899,$0,,,,,
,,ACCESORIO 16X40MM ZOLODA EXTERIOR,,UN,"$1,355",$0,,,,,
,,ACCESORIO 16X40MM ZOLODA FINAL,,Tira,"$3,204",$0,,,,,
,,ACCESORIO 16X40MM ZOLODA INTERIOR,,mts,"$36,404",$0,,,,,
,,ACCESORIO 16X40MM ZOLODA PLANO,,mts,"$16,260",$0,,,,,
,,ACCESORIO 16X40MM ZOLODA T,,UN,"$20,708",$0,,,,,
,,BANDEJA DLP 100X50 MM ZOLODA,,UN,"$15,218",$0,,,,,
,,BANDEJA DLP 16X40 MM CAFE,,UN,"$24,408",$0,,,,,
,,BANDEJA DLP 16X40 MM ZOLODA,,UN,"$30,454",$0,,,,,
,,BANDEJA DLP 16X40 MM ZOLODA CON PEGAMENTO,,UN,"$1,799",$0,,,,,
,,BT TAPA CIEGA BLANCO (SIN TORNILLOS) 503ECH,,UN,"$3,396",$0,,,,,
,,LG ANGULO EXTERIOR 80X50 - 105X50 - 150X50MM 10622,,UN,"$3,856",$0,,,,,
,,LG ANGULO INTERIOR 80X50 - 105X50 - 150X50MM 10602,,UN,"$5,976",$0,,,,,
,,LG ANGULO PLANO 105X50MM 10785,,UN,"$9,269",$0,,,,,
,,LG BANDEJA 105X50MM BLANCO X MTS 10422,,mts,"$20,846",$0,,,,,
,,LG DERIVACION T 105X50MM 10736,,UN,"$4,604",$0,,,,,
,,LG JUNTA BANDEJA UNIVERSAL 80X50 - 105X50 - 150X50MM 10691,,mts,"$5,584",$0,,,,,
,,LG JUNTA TAPA COMPLETA 105X50MM 10802,,UN,,$0,,,,,
,,LG SOPORTE MOSAIC 2 MODULOS 85MM - 105X50 10992,,UN,"$3,799",$0,,,,,
,,LG SOPORTE MOSAIC 3 MODULOS 85MM - 105X50 10993,,,,$0,,,,,
,,LG SOPORTE UNIVERSAL 3 MODULOS 85MM - 105X50 10916,,,,$0,,,,,
,,LG TABIQUE SEPARADOR 80X50 - 105X50 - 150X50MM 10582 MTS,,,,$0,,,,,
,,LG TAPA COMPLETA FLEXIBLE 85MM 105X50MM 10522 MTS,,,,$0,,,,,
,,LG TAPA EXTREMO 105X50MM 10702,,,,$0,,,,,
,,SOPORTE UNIVERSAL BAJO PERFIL 100X50MM BTKS-100-50-BL,,,,$0,,,,,
,,TAPAS ZOLODAS,,,,$0,,,,,
,,UNION BANDEJA 100X50,,,,$0,,,,,
,,ZL BANDEJA PISO 48X13MM TPP-4813-GR MTS,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,RACK,PERNO ANCLAJES 8 MM (BANDEJA - RACK) 6 UN,,UN,"$559,744",$0,,,,,
,,PERNOS JAULAS,,UN,"$505,138",$0,,,,,
,,RACK 09 U 600 FONDO,,UN,"$668,970",$0,,,,,
,,RACK 12 U 600 FONDO,,UN,"$450,530",$0,,,,,
,,RACK 15 U 600 FONDO,,UN,"$860,105",$0,,,,,
,,RACK 18 U 600 FONDO,,UN,"$901,060",$0,,,,,
,,RUEDAS,,UN,"$341,305",$0,,,,,
