SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-PVC-015,TERMINAL PVC 25MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,349,349,485,Disponible,P05562,
LT-PVC-016,COPLA 25MM LZSH,Canalización PVC y Accesorios,Coplas y Uniones,17,UN,377,6409,523,Disponible,P05564,
LT-PVC-017,ABRAZADERAS  CADDY  25MM LZSH,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,0,UN,268,0,372,Sin Stock,P05566,
LT-PVC-018,CODO PVC 25 MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,0,0,0,Disponible,,
LT-PVC-019,PVC 32 MM X 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,577,0,802,Sin Stock,P04431,
LT-PVC-020,TERMINAL PVC 32MM,Canalización PVC y Accesorios,Tuberías y Conductos,10,UN,919,9190,1277,Disponible,P06839,
LT-PVC-021,CODO PVC 32 MM,Canalización PVC y Accesorios,Tuberías y Conductos,5,UN,0,0,0,Disponible,,
LT-PVC-022,ABRAZADERAS OMEGA 32MM,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,77,UN,104,8008,0.15,Disponible,P04663,
LT-PVC-023,TUBO CONDUIT PVC 40MM 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,1963,0,2727,Sin Stock,P04434,
LT-PVC-024,CURVA 90° CONDUIT PVC 40MM,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,414,0,575,Sin Stock,P04446,
LT-PVC-025,TUBO CONDUIT PVC 50MM 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,2871,0,3987,Sin Stock,P04435,
LT-PVC-026,CURVA 90° CONDUIT PVC 50MM,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,861,861,1196,Disponible,P04447,
LT-PVC-027,TERMINAL COMPLETO CONDUIT PVC 50MM,Canalización PVC y Accesorios,Tuberías y Conductos,26,UN,734,19084,1020,Disponible,P04470,
LT-PVC-028,SALIDA DE CAJA CONDUIT PVC 50MM,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,364,0,506,Sin Stock,P04465,
LT-PVC-029,ABRAZADERA METALICA OMEGA 40MM TSP-40,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,,UN,51,0,51,Sin Stock,P04664,
LT-PVC-030,ABRAZADERA METALICA OMEGA 50MM TSP-50,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,24,UN,77,1848,77,Disponible,P04665,
LT-PVC-031,CAJAS DE PASO PLASTICA,Canalización PVC y Accesorios,Cajas de Paso y Conexión,0,UN,0,0,0,Sin Stock,,
LT-PVC-032,LX CAJA ESTANCA 85X85X50 IP55 7 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,0,UN,986,0,1369,Sin Stock,P09241,
LT-PVC-033,LX CAJA ESTANCA 100X100X70 IP55 7 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,37,UN,1660,61420,2306,Disponible,P09238,
LT-PVC-034,LX CAJA ESTANCA 200X100X70 IP65 CON 8 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,11,UN,2783,30613,3865,Disponible,P11977,
LT-PVC-035,CAJA ESTANCA 200X155X80,Canalización PVC y Accesorios,Cajas de Paso y Conexión,0,UN,0,0,0,Disponible,,
LT-PVC-036,LX CAJA ESTANCA 255X200X80 IP55 12 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,1,UN,7131,7131,9904,Disponible,P09240,
LT-PVC-037,Prensa Estopa 25mm,Canalización PVC y Accesorios,Accesorios y Varios,20,UN,0,0,0,Disponible,,
LT-PVC-038,Prensa Estopa 32mm,Canalización PVC y Accesorios,Accesorios y Varios,3,UN,0,0,0,Disponible,,
LT-PVC-039,Pegamento,Canalización PVC y Accesorios,Accesorios y Varios,1,UN,0,0,0,Disponible,,
LT-PVC-040,ACCESORIO 10X20 MM ZOLADA EXTERIOR,Canalización PVC y Accesorios,Accesorios y Varios,2,UN,0,0,0,Disponible,,
LT-PVC-041,ACCESORIO 10X20 MM ZOLADA INTERIOR,Canalización PVC y Accesorios,Accesorios y Varios,3,UN,0,0,0,Disponible,,
LT-DLP-001,ACCESORIO 10X20 MM ZOLADA PLANO,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,5,UN,0,0,0,Disponible,,
LT-DLP-002,BANDEJA DLP 16X40 MM ZOLODA CON PEGAMENTO,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,3,TIRAS,0,0,0,Disponible,,
LT-DLP-003,BANDEJA DLP 16X40 MM ZOLODA,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,13,MTS,0,0,0,Disponible,,
LT-DLP-004,ACCESORIO 16X40MM ZOLODA INTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,8,UN,0,0,0,Disponible,,
LT-DLP-005,ACCESORIO 16X40MM ZOLODA EXTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,41,UN,0,0,0,Disponible,,
